16.8	8.83	15.03	732.9	20.6	8.1	0.026	2.09
16.2	8.73	13.77	735.7	20.4	7.7	0.028	2.07
15.9	8.66	12.89	738.9	24.9	7.8	0.022	2.14
15.6	8.59	12.17	741.6	25.3	7.8	0.029	2.07
16.4	8.84	15.11	736.4	26.3	10.5	0.037	2.45
16.4	8.86	15.21	733.4	22.5	8.5	0.028	2.11
16.6	8.85	15.36	733	20.7	7.7	0.023	2.05
16.3	8.7	13.28	736.6	20.3	7.5	0.021	2
16	8.59	12.12	739.8	21.8	7.4	0.022	2.03
16.9	8.8	14.19	732.2	23.2	10.2	0.043	2.73
16.4	8.73	13.69	733.1	22	9.1	0.036	2.39
16.3	8.67	12.85	735.9	24.4	8.9	0.033	2.28
16.2	8.59	11.88	737.6	27.8	9.1	0.041	2.25
17.2	8.9	15.19	733.9	17.2	8.6	0.026	2.29
17	8.9	15.51	728.8	17.8	8.2	0.03	2.09
16.6	8.81	14.57	729.5	21.4	8.4	0.026	2.14
16.3	8.78	14.34	732.4	23.6	8	0.029	2.1
15.9	8.74	13.54	735.1	22.6	7.9	0.026	2.15
15.6	8.7	13.18	737.8	24.6	8	0.036	1.97
16.5	8.82	14.38	735.1	19.8	8.2	0.154	1.98
16.1	8.89	14.17	695.8	22	9	0.169	1.8
16	8.78	12.56	695	21.8	7.6	0.204	1.76
15.6	8.68	11.42	696.5	27.8	7.5	0.14	2.01
15.1	8.63	10.86	699	22.4	7.3	0.119	2
14.9	8.6	10.87	707.4	19.4	7.3	0.153	1.89
16.3	8.72	13.41	811.4	20.8	6.3	0.165	1.42
16	8.79	14.08	806.9	23.8	4.8	0.11	1.13
15.8	8.69	12.95	808.2	21.1	7.3	0.17	1.63
15.4	8.58	11.62	808.9	22.7	7.9	0.193	1.89
15	8.53	10.96	811.8	26.5	7.9	0.166	1.65
14.5	8.49	10.69	822.4	24.9	7.3	0.142	1.54
15.6	8.83	14.24	808.7	36.6	6.2	0.083	1.18
16.1	9.01	16.69	801.1	38.5	9.2	0.146	1.05
15.6	8.81	14.14	806.9	23.3	9.2	0.194	1.86
15.2	8.63	12.01	808.9	25.3	9.5	0.242	1.63
14.8	8.59	11.29	809.5	25.8	9.1	0.176	1.84
14.4	8.56	11.17	822.4	21.4	7.6	0.211	1.42
15.4	8.85	14.43	810.3	40.8	6.7	0.117	1.17
15.4	8.75	13.28	810.9	22	9.9	0.233	2.25
15.2	8.75	13.17	806.4	18.6	7.5	0.241	1.75
15	8.69	12.11	806.2	20.2	7.7	0.129	1.62
14.8	8.66	11.78	808.3	21.3	7.3	0.148	1.6
14.4	8.64	11.85	820.4	20.9	7.3	0.181	1.52
15	8.69	12.59	811.3	19.9	6.5	0.092	1.03
15.4	8.89	14.77	804.9	21.5	9.1	0.223	1.85
